"Libellé";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes"
"idBank";"010565692";""
"Période";"";""
"2020-T1";"-5.8";"A"
"2019-T4";"-0.1";"A"
"2019-T3";"0.3";"A"
"2019-T2";"0.3";"A"
"2019-T1";"0.4";"A"
"2018-T4";"0.5";"A"
"2018-T3";"0.3";"A"
"2018-T2";"0.2";"A"
"2018-T1";"0.2";"A"
"2017-T4";"0.8";"A"
"2017-T3";"0.7";"A"
"2017-T2";"0.7";"A"
"2017-T1";"0.8";"A"
"2016-T4";"0.6";"A"
"2016-T3";"0.2";"A"
"2016-T2";"-0.3";"A"
"2016-T1";"0.6";"A"
"2015-T4";"0.2";"A"
"2015-T3";"0.4";"A"
"2015-T2";"-0.1";"A"
"2015-T1";"0.5";"A"
"2014-T4";"0.1";"A"
"2014-T3";"0.5";"A"
"2014-T2";"0.2";"A"
"2014-T1";"0.1";"A"
"2013-T4";"0.5";"A"
"2013-T3";"0.0";"A"
"2013-T2";"0.7";"A"
"2013-T1";"0.0";"A"
"2012-T4";"-0.1";"A"
"2012-T3";"0.2";"A"
"2012-T2";"-0.2";"A"
"2012-T1";"0.1";"A"
"2011-T4";"0.3";"A"
"2011-T3";"0.2";"A"
"2011-T2";"0.1";"A"
"2011-T1";"1.0";"A"
"2010-T4";"0.7";"A"
"2010-T3";"0.6";"A"
"2010-T2";"0.5";"A"
"2010-T1";"0.4";"A"
